         274592 function calls (274580 primitive calls) in 1.853 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      7/1    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
      7/1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 C:\python\Lib\random.py:135(seed)
        9    0.000    0.000    0.000    0.000 <frozen ntpath>:179(splitroot)
        2    0.000    0.000    0.000    0.000 <frozen ntpath>:107(join)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:411(expandvars)
        4    0.000    0.000    0.000    0.000 <frozen genericpath>:133(_splitext)
       12    0.000    0.000    0.000    0.000 {built-in method _winapi.LCMapStringEx}
        1    0.000    0.000    0.000    0.000 {built-in method nt._path_isfile}
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:350(expanduser)
        1    0.000    0.000    0.000    0.000 C:\python\Lib\random.py:454(choices)
        4    0.000    0.000    0.000    0.000 C:\python\Lib\logging\__init__.py:674(formatMessage)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x0000010EDB8228E0}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        8    0.000    0.000    0.000    0.000 C:\python\Lib\logging\__init__.py:968(acquire)
        4    0.000    0.000    0.000    0.000 C:\python\Lib\logging\__init__.py:462(format)
        4    0.000    0.000    0.000    0.000 C:\python\Lib\logging\__init__.py:1790(isEnabledFor)
        6    0.000    0.000    0.000    0.000 <frozen os>:754(encodekey)
        4    0.000    0.000    0.000    0.000 C:\python\Lib\logging\__init__.py:455(_format)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:275(dirname)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:596(abspath)
        4    0.000    0.000    0.000    0.000 C:\python\Lib\logging\__init__.py:668(usesTime)
        8    0.000    0.000    0.000    0.000 C:\python\Lib\logging\__init__.py:975(release)
       21    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        4    0.000    0.000    0.000    0.000 C:\python\Lib\logging\__init__.py:170(<lambda>)
       36    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        4    0.000    0.000    0.000    0.000 C:\python\Lib\logging\__init__.py:447(usesTime)
        4    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        4    0.000    0.000    0.000    0.000 C:\python\Lib\logging\__init__.py:129(getLevelName)
        9    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
